"Source Name"	"Characteristics[genotype]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sampling time]"	"Unit[UnknownUnitType]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Extract Name"	"Protocol REF"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Hybridization Name"	"Array Design REF"	"Protocol REF"	"Scan Name"	"Image File"	"Array Data File"	"Array Data Matrix File"	"Protocol REF"	"Normalization Name"	"Derived Array Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Array Data Matrix File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"
"40"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630434"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-40"	"labeling"	"A704-40"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-40"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-40.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"64"	"D"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630373"	"D"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-64"	"labeling"	"A704-64"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-64"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-64.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"5"	"erp1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630400"	"erp1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-05"	"labeling"	"A704-05"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-05"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-05.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"29"	"erp1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630377"	"erp1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-29"	"labeling"	"A704-29"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-29"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-29.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"53"	"erp1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630390"	"erp1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-53_2"	"labeling"	"A704-53_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-53_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-53_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"17"	"erp1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630410"	"erp1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-17"	"labeling"	"A704-17"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-17"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-17.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"41"	"erp1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630375"	"erp1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-41"	"labeling"	"A704-41"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-41"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-41.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"65"	"erp1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630369"	"erp1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-65"	"labeling"	"A704-65"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-65"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-65.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"6"	"erp2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630416"	"erp2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-06"	"labeling"	"A704-06"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-06"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-06.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"30"	"erp2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630406"	"erp2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-30"	"labeling"	"A704-30"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-30"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-30.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"54"	"erp2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630399"	"erp2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-54"	"labeling"	"A704-54"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-54"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-54.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"18"	"erp2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630421"	"erp2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-18"	"labeling"	"A704-18"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-18"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-18.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"42"	"erp2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630396"	"erp2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-42"	"labeling"	"A704-42"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-42"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-42.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"66"	"erp2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630419"	"erp2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-66"	"labeling"	"A704-66"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-66"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-66.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"1"	"gl1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630391"	"gl1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-01"	"labeling"	"A704-01"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-01"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-01.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"25"	"gl1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630413"	"gl1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-25"	"labeling"	"A704-25"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-25"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-25.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"49"	"gl1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630432"	"gl1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-49"	"labeling"	"A704-49"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-49"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-49.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"13"	"gl1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630429"	"gl1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-13"	"labeling"	"A704-13"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-13"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-13.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"37"	"gl1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630379"	"gl1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-37"	"labeling"	"A704-37"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-37"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-37.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"61"	"gl1"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630425"	"gl1"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-61"	"labeling"	"A704-61"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-61"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-61.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"2"	"pen2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630398"	"pen2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-02"	"labeling"	"A704-02"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-02"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-02.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"26"	"pen2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630386"	"pen2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-26"	"labeling"	"A704-26"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-26"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-26.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"50"	"pen2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630372"	"pen2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-50_2"	"labeling"	"A704-50_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-50_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-50_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"14"	"pen2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630378"	"pen2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-14"	"labeling"	"A704-14"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-14"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-14.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"38"	"pen2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630368"	"pen2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-38_2"	"labeling"	"A704-38_2"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-38_2"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-38_2.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
"62"	"pen2"	""	""	"Arabidopsis thaliana"	""	""	"rosette leaf"	"PO"	"http://purl.obolibrary.org/obo/PO_0000014"	""	""	""	""	""	""	"SAMEA2630415"	"pen2"	""	""	"water"	"EFO"	"http://purl.obolibrary.org/obo/CHEBI_15377"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	""	""	""	"RNA extraction"	"A704-62"	"labeling"	"A704-62"	"biotin"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15956"	"nucleic acid hybridization"	"A704-62"	"A-AFFY-2"	"data collection"	""	""	"celdata/A704-62.CEL"	""	"normalization data transformation"	""	""	"data transformation"	""	""	"ArrayExpress"	"AEX"
