"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Scan m/z range]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SAMEA2630423"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-39"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-39-2neg_1-D,3_01_24319"	"LTI225-39-2neg_1-D,3_01_24319.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630423"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-39"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-39-3neg_1-E,6_01_24330"	"LTI225-39-3neg_1-E,6_01_24330.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630422"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-51"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-51-1neg_1-D,1_01_24629"	"LTI225-51-1neg_1-D,1_01_24629.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630422"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-51"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-51-2neg_1-C,4_01_24623"	"LTI225-51-2neg_1-C,4_01_24623.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630422"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-51"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-51-3neg_2-B,2_01_24679"	"LTI225-51-3neg_2-B,2_01_24679.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630395"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-63"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-63-1neg_1-F,7_01_24651"	"LTI225-63-1neg_1-F,7_01_24651.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630395"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-63"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-63-2neg_1-B,2_01_24535"	"LTI225-63-2neg_1-B,2_01_24535.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630395"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-63"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-63-3neg_1-A,6_01_24531"	"LTI225-63-3neg_1-A,6_01_24531.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630366"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-09"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-09-1neg_1-D,8_01_24324"	"LTI225-09-1neg_1-D,8_01_24324.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630366"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-09"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-09-2neg_1-E,4_01_24328"	"LTI225-09-2neg_1-E,4_01_24328.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630366"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-09"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-09-3neg_1-F,2_01_24334"	"LTI225-09-3neg_1-F,2_01_24334.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630414"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-21"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-21-1neg_1-D,7_01_24479"	"LTI225-21-1neg_1-D,7_01_24479.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630414"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-21"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-21-2neg_1-F,7_01_24495"	"LTI225-21-2neg_1-F,7_01_24495.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630414"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-21"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-21-3neg_1-D,3_01_24475"	"LTI225-21-3neg_1-D,3_01_24475.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630380"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-33"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-33-1neg_1-C,7_01_24470"	"LTI225-33-1neg_1-C,7_01_24470.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630380"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-33"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-33-2neg_1-A,3_01_24450"	"LTI225-33-2neg_1-A,3_01_24450.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630380"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-33"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-33-3neg_1-C,4_01_24467"	"LTI225-33-3neg_1-C,4_01_24467.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630417"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-45"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-45-1neg_1-B,8_01_24384"	"LTI225-45-1neg_1-B,8_01_24384.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630417"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-45"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-45-2neg_1-B,2_01_24378"	"LTI225-45-2neg_1-B,2_01_24378.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
