"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Signal range]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Resolution]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SAMEA2630423"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-39"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-39-2neg_1-D,3_01_24319"	"LTI225-39-2neg_1-D,3_01_24319.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630423"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-39"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-39-3neg_1-E,6_01_24330"	"LTI225-39-3neg_1-E,6_01_24330.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630422"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-51"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-51-1neg_1-D,1_01_24629"	"LTI225-51-1neg_1-D,1_01_24629.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630422"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-51"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-51-2neg_1-C,4_01_24623"	"LTI225-51-2neg_1-C,4_01_24623.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630422"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-51"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-51-3neg_2-B,2_01_24679"	"LTI225-51-3neg_2-B,2_01_24679.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630395"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-63"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-63-1neg_1-F,7_01_24651"	"LTI225-63-1neg_1-F,7_01_24651.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630395"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-63"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-63-2neg_1-B,2_01_24535"	"LTI225-63-2neg_1-B,2_01_24535.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630395"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-63"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-63-3neg_1-A,6_01_24531"	"LTI225-63-3neg_1-A,6_01_24531.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630366"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-09"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-09-1neg_1-D,8_01_24324"	"LTI225-09-1neg_1-D,8_01_24324.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630366"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-09"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-09-2neg_1-E,4_01_24328"	"LTI225-09-2neg_1-E,4_01_24328.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630366"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-09"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-09-3neg_1-F,2_01_24334"	"LTI225-09-3neg_1-F,2_01_24334.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630414"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-21"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-21-1neg_1-D,7_01_24479"	"LTI225-21-1neg_1-D,7_01_24479.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630414"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-21"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-21-3neg_1-D,3_01_24475"	"LTI225-21-3neg_1-D,3_01_24475.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630380"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-33"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-33-1neg_1-C,7_01_24470"	"LTI225-33-1neg_1-C,7_01_24470.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630380"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-33"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-33-2neg_1-A,3_01_24450"	"LTI225-33-2neg_1-A,3_01_24450.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630380"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-33"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-33-3neg_1-C,4_01_24467"	"LTI225-33-3neg_1-C,4_01_24467.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630417"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-45"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-45-1neg_1-B,8_01_24384"	"LTI225-45-1neg_1-B,8_01_24384.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630417"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-45"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-45-2neg_1-B,2_01_24378"	"LTI225-45-2neg_1-B,2_01_24378.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630417"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-45"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-45-3neg_1-C,4_01_24388"	"LTI225-45-3neg_1-C,4_01_24388.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630408"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-57"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-57-1neg_1-D,8_01_24636"	"LTI225-57-1neg_1-D,8_01_24636.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630408"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-57"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-57-2neg_2-A,3_01_24672"	"LTI225-57-2neg_2-A,3_01_24672.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630408"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-57"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-57-3neg_1-E,8_01_24644"	"LTI225-57-3neg_1-E,8_01_24644.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630364"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-69"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-69-1neg_1-D,6_01_24634"	"LTI225-69-1neg_1-D,6_01_24634.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630364"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-69"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-69-2neg_1-F,5_01_24649"	"LTI225-69-2neg_1-F,5_01_24649.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630364"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-69"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-69-3neg_2-B,5_01_24682"	"LTI225-69-3neg_2-B,5_01_24682.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630367"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-04"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-04-1neg_1-A,3_01_24294"	"LTI225-04-1neg_1-A,3_01_24294.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630385"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-16"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-16-1neg_1-E,2_01_24482"	"LTI225-16-1neg_1-E,2_01_24482.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630385"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-16"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-16-2neg_1-D,6_01_24478"	"LTI225-16-2neg_1-D,6_01_24478.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630381"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-28"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-28-1neg_1-C,8_01_24471"	"LTI225-28-1neg_1-C,8_01_24471.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630381"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-28"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-28-2neg_1-B,8_01_24463"	"LTI225-28-2neg_1-B,8_01_24463.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
